investment_id,customer_id,account_type,ticker_symbol,asset_class,quantity,cost_basis,market_value,unrealized_gain_loss,risk_profile,as_of_date
5001,3,BROKERAGE,AAPL,EQUITY,150.000000,18750.00,24450.00,5700.00,MODERATE,2024-12-31
5002,3,BROKERAGE,BND,ETF,200.000000,15800.00,15200.00,-600.00,MODERATE,2024-12-31
5003,5,IRA,VTI,ETF,300.000000,58500.00,73200.00,14700.00,MODERATE,2024-12-31
5004,5,ROTH_IRA,MSFT,EQUITY,80.000000,26400.00,33600.00,7200.00,AGGRESSIVE,2024-12-31
5005,9,BROKERAGE,GOOGL,EQUITY,50.000000,82500.00,91500.00,9000.00,AGGRESSIVE,2024-12-31
5006,9,BROKERAGE,AGG,ETF,500.000000,47500.00,45000.00,-2500.00,AGGRESSIVE,2024-12-31
5007,9,IRA,VTI,ETF,400.000000,78000.00,97600.00,19600.00,MODERATE,2024-12-31
5008,11,BROKERAGE,AMZN,EQUITY,40.000000,72000.00,88000.00,16000.00,AGGRESSIVE,2024-12-31
5009,11,IRA,VFIAX,MUTUAL_FUND,250.000000,68750.00,82250.00,13500.00,MODERATE,2024-12-31
5010,13,BROKERAGE,TSLA,EQUITY,100.000000,22000.00,25000.00,3000.00,AGGRESSIVE,2024-12-31
5011,13,BROKERAGE,BRK.B,EQUITY,200.000000,72000.00,88400.00,16400.00,MODERATE,2024-12-31
5012,13,ROTH_IRA,VGT,ETF,150.000000,60000.00,82500.00,22500.00,AGGRESSIVE,2024-12-31
5013,13,IRA,VBMFX,MUTUAL_FUND,1000.000000,10000.00,10200.00,200.00,CONSERVATIVE,2024-12-31
5014,18,BROKERAGE,NVDA,EQUITY,200.000000,86000.00,220000.00,134000.00,AGGRESSIVE,2024-12-31
5015,18,BROKERAGE,JPM,EQUITY,300.000000,52500.00,69000.00,16500.00,MODERATE,2024-12-31
5016,18,IRA,FXAIX,MUTUAL_FUND,500.000000,90000.00,121500.00,31500.00,MODERATE,2024-12-31
5017,21,BROKERAGE,META,EQUITY,75.000000,37500.00,51750.00,14250.00,AGGRESSIVE,2024-12-31
5018,21,IRA,VYM,ETF,200.000000,23000.00,25000.00,2000.00,CONSERVATIVE,2024-12-31
5019,23,BROKERAGE,AAPL,EQUITY,500.000000,62500.00,81500.00,19000.00,AGGRESSIVE,2024-12-31
5020,23,BROKERAGE,LQD,ETF,1000.000000,112000.00,107000.00,-5000.00,CONSERVATIVE,2024-12-31
5021,23,IRA,VTSAX,MUTUAL_FUND,800.000000,152000.00,196000.00,44000.00,MODERATE,2024-12-31
5022,23,ROTH_IRA,QQQ,ETF,100.000000,43500.00,52000.00,8500.00,AGGRESSIVE,2024-12-31
5023,27,BROKERAGE,DIS,EQUITY,250.000000,25000.00,24000.00,-1000.00,MODERATE,2024-12-31
5024,27,IRA,VBTLX,MUTUAL_FUND,600.000000,60000.00,59400.00,-600.00,CONSERVATIVE,2024-12-31
5025,28,BROKERAGE,MSFT,EQUITY,120.000000,39600.00,50400.00,10800.00,MODERATE,2024-12-31
5026,28,BROKERAGE,SPY,ETF,200.000000,98000.00,118600.00,20600.00,MODERATE,2024-12-31
5027,31,IRA,VFIAX,MUTUAL_FUND,400.000000,110000.00,131600.00,21600.00,MODERATE,2024-12-31
5028,31,ROTH_IRA,VGT,ETF,80.000000,32000.00,44000.00,12000.00,AGGRESSIVE,2024-12-31
5029,33,BROKERAGE,COST,EQUITY,60.000000,44400.00,54600.00,10200.00,MODERATE,2024-12-31
5030,33,IRA,VTSAX,MUTUAL_FUND,700.000000,133000.00,171500.00,38500.00,MODERATE,2024-12-31
5031,39,BROKERAGE,VNQ,ETF,300.000000,27000.00,25500.00,-1500.00,MODERATE,2024-12-31
5032,43,BROKERAGE,AAPL,EQUITY,200.000000,25000.00,32600.00,7600.00,MODERATE,2024-12-31
5033,43,IRA,FSKAX,MUTUAL_FUND,900.000000,135000.00,171000.00,36000.00,MODERATE,2024-12-31
5034,47,BROKERAGE,JNJ,EQUITY,150.000000,23250.00,24000.00,750.00,CONSERVATIVE,2024-12-31
5035,47,ROTH_IRA,SCHD,ETF,250.000000,20000.00,22250.00,2250.00,CONSERVATIVE,2024-12-31
