card_id,customer_id,card_number_masked,card_type,credit_limit,current_balance,available_credit,apr,payment_due_date,minimum_payment,rewards_points,status
2001,1,****4521,REWARDS,10000.00,3241.88,6758.12,0.1999,2025-01-15,97.26,8540,ACTIVE
2002,2,****7734,CASHBACK,5000.00,1890.44,3109.56,0.2199,2025-01-20,56.71,2230,ACTIVE
2003,3,****2256,PLATINUM,25000.00,8400.00,16600.00,0.1799,2025-01-10,252.00,24100,ACTIVE
2004,4,****9901,REWARDS,7500.00,5200.00,2300.00,0.2099,2025-01-22,156.00,11200,ACTIVE
2005,5,****6678,CASHBACK,12000.00,2100.75,9899.25,0.1899,2025-01-05,63.02,5430,ACTIVE
2006,6,****3312,SECURED,1000.00,880.00,120.00,0.2499,2025-01-28,26.40,120,ACTIVE
2007,7,****8845,REWARDS,8000.00,1450.33,6549.67,0.1999,2025-01-12,43.51,3780,ACTIVE
2008,8,****1167,CASHBACK,6000.00,3800.00,2200.00,0.2199,2025-01-18,114.00,6920,ACTIVE
2009,9,****5590,PLATINUM,30000.00,11200.00,18800.00,0.1699,2025-01-08,336.00,45600,ACTIVE
2010,10,****2223,SECURED,500.00,490.00,10.00,0.2799,2025-01-25,14.70,0,SUSPENDED
2011,11,****7756,PLATINUM,20000.00,4300.00,15700.00,0.1799,2025-01-14,129.00,18900,ACTIVE
2012,12,****4489,REWARDS,9000.00,2750.60,6249.40,0.2099,2025-01-20,82.52,7650,ACTIVE
2013,13,****1112,PLATINUM,50000.00,18500.00,31500.00,0.1599,2025-01-07,555.00,89200,ACTIVE
2014,14,****8834,CASHBACK,7000.00,4100.00,2900.00,0.2299,2025-01-17,123.00,4100,ACTIVE
2015,15,****5567,REWARDS,11000.00,3200.44,7799.56,0.1999,2025-01-11,96.01,9870,ACTIVE
2016,16,****2290,CASHBACK,8500.00,1900.00,6600.00,0.2099,2025-01-21,57.00,3340,ACTIVE
2017,17,****9923,SECURED,750.00,680.00,70.00,0.2699,2025-01-27,20.40,80,ACTIVE
2018,18,****6645,PLATINUM,40000.00,9800.00,30200.00,0.1699,2025-01-09,294.00,62400,ACTIVE
2019,19,****3378,REWARDS,10000.00,5500.00,4500.00,0.2099,2025-01-16,165.00,12100,ACTIVE
2020,20,****1101,CASHBACK,6500.00,2100.00,4400.00,0.2199,2025-01-22,63.00,4560,ACTIVE
2021,21,****8823,PLATINUM,15000.00,3400.00,11600.00,0.1799,2025-01-13,102.00,14300,ACTIVE
2022,22,****5556,SECURED,1000.00,960.00,40.00,0.2599,2025-01-29,28.80,0,ACTIVE
2023,23,****2289,PLATINUM,60000.00,22000.00,38000.00,0.1599,2025-01-06,660.00,112000,ACTIVE
2024,24,****9912,REWARDS,9500.00,4100.00,5400.00,0.2099,2025-01-19,123.00,9200,ACTIVE
2025,25,****6634,CASHBACK,12500.00,3700.88,8799.12,0.1899,2025-01-10,111.03,8830,ACTIVE
2026,26,****3367,SECURED,500.00,445.00,55.00,0.2799,2025-01-26,13.35,0,ACTIVE
2027,27,****1190,PLATINUM,35000.00,7200.00,27800.00,0.1699,2025-01-12,216.00,38900,ACTIVE
2028,28,****8812,REWARDS,13000.00,2800.00,10200.00,0.1999,2025-01-15,84.00,16700,ACTIVE
2029,29,****5545,CASHBACK,7500.00,3900.00,3600.00,0.2199,2025-01-21,117.00,5890,ACTIVE
2030,30,****2278,REWARDS,8000.00,5600.00,2400.00,0.2099,2025-01-18,168.00,7200,ACTIVE
2031,31,****9901,CASHBACK,10000.00,1800.00,8200.00,0.1999,2025-01-14,54.00,4120,ACTIVE
2032,32,****6634,SECURED,750.00,730.00,20.00,0.2799,2025-01-30,21.90,0,SUSPENDED
2033,33,****3367,PLATINUM,22000.00,8900.00,13100.00,0.1799,2025-01-11,267.00,29800,ACTIVE
2034,34,****1190,REWARDS,11000.00,4500.00,6500.00,0.2099,2025-01-17,135.00,10500,ACTIVE
2035,35,****8823,CASHBACK,9000.00,2200.00,6800.00,0.1899,2025-01-13,66.00,6340,ACTIVE
