transaction_id,account_id,transaction_type,amount,currency,transaction_date,description,merchant_name,channel,status,reference_number
1,1001,DEBIT,85.42,USD,2024-10-01 09:15:00,Grocery purchase,Whole Foods Market,DEBIT_CARD,SETTLED,TXN20241001001
2,1001,DEBIT,1200.00,USD,2024-10-02 10:00:00,Rent payment,City Property Mgmt,ONLINE,SETTLED,TXN20241002002
3,1001,CREDIT,3500.00,USD,2024-10-03 12:00:00,Direct deposit payroll,Acme Corp,ACH,SETTLED,TXN20241003003
4,1002,CREDIT,500.00,USD,2024-10-04 14:30:00,Transfer from checking,Internal Transfer,ONLINE,SETTLED,TXN20241004004
5,1003,DEBIT,45.99,USD,2024-10-05 08:22:00,Coffee and lunch,Starbucks,MOBILE,SETTLED,TXN20241005005
6,1003,DEBIT,312.00,USD,2024-10-06 19:45:00,Utility bill,ConEd Electric,ONLINE,SETTLED,TXN20241006006
7,1003,CREDIT,4200.00,USD,2024-10-07 12:00:00,Direct deposit payroll,TechCorp Inc,ACH,SETTLED,TXN20241007007
8,1005,DEBIT,250.00,USD,2024-10-08 11:30:00,ATM cash withdrawal,,ATM,SETTLED,TXN20241008008
9,1005,DEBIT,1850.00,USD,2024-10-09 10:00:00,Mortgage payment,First National Bank,ONLINE,SETTLED,TXN20241009009
10,1005,CREDIT,7800.00,USD,2024-10-10 12:00:00,Direct deposit payroll,Global Finance LLC,ACH,SETTLED,TXN20241010010
11,1007,DEBIT,65.00,USD,2024-10-11 18:00:00,Dinner restaurant,The Capital Grille,DEBIT_CARD,SETTLED,TXN20241011011
12,1007,DEBIT,480.00,USD,2024-10-12 09:00:00,Car insurance,Allstate Insurance,ONLINE,SETTLED,TXN20241012012
13,1007,CREDIT,3800.00,USD,2024-10-13 12:00:00,Direct deposit payroll,Metro Health System,ACH,SETTLED,TXN20241013013
14,1008,DEBIT,120.50,USD,2024-10-14 13:15:00,Pharmacy purchase,CVS Pharmacy,DEBIT_CARD,SETTLED,TXN20241014014
15,1008,DEBIT,89.99,USD,2024-10-15 20:30:00,Streaming subscription,Netflix,ONLINE,SETTLED,TXN20241015015
16,1009,CREDIT,1000.00,USD,2024-10-16 14:00:00,Transfer from checking,Internal Transfer,ONLINE,SETTLED,TXN20241016016
17,1010,DEBIT,35.00,USD,2024-10-17 07:45:00,Gas station,Shell Gas,DEBIT_CARD,SETTLED,TXN20241017017
