loan_id,customer_id,loan_type,principal_amount,outstanding_balance,interest_rate,term_months,monthly_payment,origination_date,maturity_date,status
1,1,AUTO,28500.00,19234.56,0.0599,60,550.42,2022-06-15,2027-06-15,CURRENT
2,2,PERSONAL,10000.00,6712.33,0.0999,36,322.15,2023-03-01,2026-03-01,CURRENT
3,3,HOME_EQUITY,75000.00,68900.00,0.0725,120,876.50,2023-09-10,2033-09-10,CURRENT
4,4,PERSONAL,15000.00,14200.00,0.1099,60,326.28,2024-01-22,2029-01-22,CURRENT
5,5,AUTO,35000.00,28100.00,0.0549,72,571.34,2023-04-05,2029-04-05,CURRENT
6,6,PERSONAL,5000.00,4100.00,0.1299,36,168.49,2023-12-01,2026-12-01,DELINQUENT
7,7,AUTO,22000.00,15600.00,0.0649,60,428.12,2022-01-15,2027-01-15,CURRENT
8,8,STUDENT,30000.00,27500.00,0.0450,120,309.67,2022-09-01,2032-09-01,CURRENT
9,9,HOME_EQUITY,100000.00,91200.00,0.0700,180,898.83,2023-08-14,2038-08-14,CURRENT
10,11,AUTO,42000.00,38700.00,0.0575,72,690.12,2024-01-10,2030-01-10,CURRENT
11,12,PERSONAL,8000.00,5200.00,0.0899,36,254.57,2023-05-20,2026-05-20,CURRENT
12,13,HOME_EQUITY,150000.00,148000.00,0.0710,180,1348.45,2024-02-28,2039-02-28,CURRENT
13,14,PERSONAL,20000.00,18900.00,0.1149,60,435.50,2024-03-15,2029-03-15,CURRENT
14,15,AUTO,18500.00,11400.00,0.0625,60,358.76,2022-08-01,2027-08-01,CURRENT
15,16,PERSONAL,6000.00,5600.00,0.1099,36,196.28,2024-02-10,2027-02-10,CURRENT
16,17,STUDENT,25000.00,24100.00,0.0500,120,264.96,2024-01-22,2034-01-22,CURRENT
17,18,HOME_EQUITY,200000.00,198500.00,0.0695,240,1543.22,2024-02-05,2044-02-05,CURRENT
18,19,AUTO,16000.00,9800.00,0.0599,48,375.62,2021-10-01,2025-10-01,CURRENT
19,20,PERSONAL,12000.00,10100.00,0.0949,48,302.29,2023-10-15,2027-10-15,CURRENT
20,21,AUTO,55000.00,52000.00,0.0525,72,886.00,2024-03-14,2030-03-14,CURRENT
21,22,PERSONAL,3500.00,2800.00,0.1299,24,166.18,2023-08-27,2025-08-27,DELINQUENT
22,23,HOME_EQUITY,250000.00,247000.00,0.0680,240,1893.15,2024-04-09,2044-04-09,CURRENT
23,24,AUTO,19000.00,15300.00,0.0649,60,369.56,2022-11-22,2027-11-22,CURRENT
24,25,PERSONAL,18000.00,12500.00,0.0849,48,445.41,2022-12-05,2026-12-05,CURRENT
25,26,STUDENT,40000.00,39200.00,0.0525,120,427.80,2024-05-18,2034-05-18,CURRENT
26,28,AUTO,31000.00,24600.00,0.0575,60,595.78,2023-02-14,2028-02-14,CURRENT
27,29,PERSONAL,7500.00,5100.00,0.0999,36,241.61,2023-04-01,2026-04-01,CURRENT
28,30,PERSONAL,25000.00,23400.00,0.1049,60,537.25,2024-07-14,2029-07-14,CURRENT
29,33,HOME_EQUITY,80000.00,73200.00,0.0715,120,933.40,2023-07-22,2033-07-22,CURRENT
30,35,AUTO,24000.00,19100.00,0.0599,60,463.56,2022-09-17,2027-09-17,CURRENT
