rate_id,product_type,term_months,rate,apy,effective_date,expiry_date,min_balance,tier
1,SAVINGS,,0.0420,0.0429,2024-01-01,,1000.00,STANDARD
2,SAVINGS,,0.0450,0.0459,2024-01-01,,25000.00,PREFERRED
3,SAVINGS,,0.0475,0.0486,2024-01-01,,100000.00,PREMIER
4,CD,12,0.0500,0.0513,2024-01-01,,500.00,STANDARD
5,CD,24,0.0480,0.0492,2024-01-01,,500.00,STANDARD
6,CD,36,0.0460,0.0471,2024-01-01,,500.00,STANDARD
7,CD,60,0.0440,0.0450,2024-01-01,,500.00,STANDARD
8,MORTGAGE_30Y,,0.0695,0.0718,2024-01-01,,0.00,STANDARD
9,MORTGAGE_15Y,,0.0640,0.0659,2024-01-01,,0.00,STANDARD
10,MORTGAGE_30Y,,0.0675,0.0697,2024-01-01,,0.00,PREFERRED
11,AUTO_LOAN,60,0.0599,0.0616,2024-01-01,,0.00,STANDARD
12,AUTO_LOAN,72,0.0649,0.0668,2024-01-01,,0.00,STANDARD
13,AUTO_LOAN,48,0.0549,0.0564,2024-01-01,,0.00,PREFERRED
14,PERSONAL_LOAN,36,0.0999,0.1047,2024-01-01,,0.00,STANDARD
15,PERSONAL_LOAN,60,0.1099,0.1153,2024-01-01,,0.00,STANDARD
16,PERSONAL_LOAN,36,0.0849,0.0885,2024-01-01,,0.00,PREFERRED
17,HOME_EQUITY,120,0.0725,0.0750,2024-01-01,,0.00,STANDARD
18,HOME_EQUITY,180,0.0750,0.0776,2024-01-01,,0.00,STANDARD
